codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
1167,CUPLAS 3/8,UN,TALLER,TAL,CONEXIONES,CON
1168,AMORTIG. DE SUSP. DELFABRO 07986463,UN,TALLER,TAL,FERRETERIA,FER
1169,PILAS ENERGIZER BL.2U. E93,UN,TALLER,TAL,FERRETERIA,FER
1170,"PRENSA CABLES BHIEL 3/8""",UN,TALLER,TAL,BULONERIA,BUL
1171,"PRENSA CABLES BHIEL 5/16""",UN,TALLER,TAL,ELECTRICIDAD,ELE
1172,PINTURA AZUL VULCANO,UN,TALLER,TAL,PINTURA,PIN
1173,DILUYENTE SCHORI P/PILETA,UN,TALLER,TAL,PINTURA,PIN
1174,MALACATE CABLE 5.1MMX10MT CAP 2000DAN,UN,TALLER,TAL,ELECTRICIDAD,ELE
1175,"PRENSA CABLES BHIEL 1/2""",UN,TALLER,TAL,ELECTRICIDAD,ELE
1176,CARTEL INTERNACIONAL DE 1.5 MTS. X 2 MTS.,UN,TALLER,TAL,CALCOS Y CARTELES,CYC
1177,LATERAL DE LONA PARA BATEA,UN,TALLER,TAL,LONAS,LON
1178,PINTURA FLUORESCENTE GUARNIERI,LT,TALLER,TAL,PINTURA,PIN
1179,CHAPA CARTEL BRASIL,UN,TALLER,TAL,CALCOS Y CARTELES,CYC
1181,"BANDAS REFLECTIVAS ROJA DE 0,70 X 50 CM",UN,TALLER,TAL,CALCOS Y CARTELES,CYC
